_id,URL,Giá,Tiêu đề,Chính sách bảo hành,Dòng xe,Hãng xe,Loại xe,Năm sản xuất,Số Km đã đi,Trọng lượng,Tình trạng,Xuất xứ,Hộp số,Nhiên liệu,Số chỗ,Trọng tải,Loại phụ tùng,Mã phụ tùng,Kiểu dáng,Dung tích xe,Chất liệu khung,Dòng xe đạp thể thao,Kích thước khung,Loại xe đạp,Màu sắc,Bảo hành,Động cơ,Hãng xe tải
694d6d8831eb0e1e04011d46,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/125426530.htm,630.000.000 đ,VinFast Lux SA2.0 2021 Plus 2.0 AT - 68000 km,,Lux SA2.0,VinFast,,2021,,> 1 tấn,,,Tự động,Xăng,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6d8d31eb0e1e04011d47,https://xe.chotot.com/mua-ban-xe-may-quan-nam-tu-liem-ha-noi/127786781.htm,38.000.000 đ,"siêu phẩm R15-2022 chạy chuẩn 7000km, mới keng",,,,,,,,,,,,,,,,,,,,,,,,,
694d6d9231eb0e1e04011d48,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/128153308.htm,1.295.000.000 đ,Everest 2023 Titanium AT 4x4 nội thất nâu hiếm.,,Everest,Ford,,2023,,> 1 tấn,,,Tự động,Dầu,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6d9631eb0e1e04011d49,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/129765082.htm,158.000.000 đ,Toyota Innova G 2006 xe gia đình xe zil toàn tập,,Innova,Toyota,,2006,,> 1 tấn,,,Số sàn,Xăng,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6d9c31eb0e1e04011d4a,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/129907605.htm,989.000.000 đ,Mercedes GLC250 4MATIC 2019 màu trắng,,GLC,Mercedes Benz,,2019,,> 1 tấn,,,Tự động,Xăng,Khác,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6daf31eb0e1e04011d4b,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/127949483.htm#px=SR-stickyad-[PO-1][PL-top],298.000.000 đ,Mitsu Fusu 1tấn7 thùng kín cửa hông máy lạnh,,,,,,,,,,,,,,,,,,,,,,,,,
694d6db431eb0e1e04011d4c,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/128953249.htm#px=SR-stickyad-[PO-2][PL-top],33.000.000 đ,👉 THU MUA XE CŨ ĐỊNH GIÁ CAO LO GIẤY TỜ,,,,,,,,,,,,,,,,,,,,,,,,,
694d6db931eb0e1e04011d4d,https://www.chotot.com/mua-ban-quan-1-tp-ho-chi-minh/129794714.htm#px=SR-stickyad-[PO-3][PL-top],1.180.000.000 đ,Honda CRV 2024 L AWD 12.000km Đỏ,,CR V,Honda,,2024,,> 1 tấn,,,Tự động,Xăng,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6dbe31eb0e1e04011d4e,https://www.chotot.com/mua-ban-quan-10-tp-ho-chi-minh/129376360.htm#px=SR-stickyad-[PO-4][PL-top],1.199.000.000 đ,Mercedes Benz E Class 2019 E200 Sport - 41000 km,,E Class,Mercedes Benz,,2019,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6dc231eb0e1e04011d4f,https://www.chotot.com/mua-ban-xe-tai-xe-ben-huyen-cu-chi-tp-ho-chi-minh/128665776.htm#px=SR-stickyad-[PO-5][PL-top],123.456.789 đ,XE TẢI ISUZU 8T2 ĐỜI 2020,,,,,,,,,,,,,,,,,,,,,,,,,
694d6dc731eb0e1e04011d50,https://www.chotot.com/mua-ban-quan-11-tp-ho-chi-minh/129535388.htm,450.000 đ,phuộc trước vison 2019 zin đẹp.bao lướt,,,,,,,,Đã sử dụng,Nhật Bản,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6dcd31eb0e1e04011d51,https://www.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/129272997.htm,369.000.000 đ,"VinFast VF5, mua pin, 1 chủ, còn QUÁ MỚI;",,VF5 Plus,VinFast,,2024,,> 1 tấn,,,Tự động,Điện,5,> 2 tấn,,,Hatchback,,,,,,,,,
694d6dd131eb0e1e04011d52,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129681801.htm,7.500.000 đ,Honda Wave RSX 110cc 2011 Xanh đen,Bảo hành hãng,Wave,Honda,Xe số,2011,56789,> 50 kg,Đã sử dụng,Việt Nam,,,,,,,,100 - 175 cc,,,,,,,,
694d6dd631eb0e1e04011d53,https://www.chotot.com/mua-ban-quan-3-tp-ho-chi-minh/129907341.htm,2.168.000.000 đ,Volkswagen Teramont X 2025,,Teramont X,Volkswagen,,2025,,,,,Tự động,Xăng,5,,,,SUV / Cross over,,,,,,,,,
694d6ddb31eb0e1e04011d54,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129703535.htm,8.500.000 đ,Honda Air Blade 2012 Đen Vàng đồng,Bảo hành hãng,Air Blade,Honda,Tay ga,2012,56789,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6de031eb0e1e04011d55,https://www.chotot.com/mua-ban-quan-3-tp-ho-chi-minh/129907324.htm,2.288.000.000 đ,Volkswagen Viloran Luxury 2025,,Viloran,Volkswagen,,2025,,,,,Tự động,Xăng,7,,,,Van,,,,,,,,,
694d6de431eb0e1e04011d56,https://www.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/127815452.htm#px=SR-special_display_ad-[PO-12][PL-default],1.093.000.000 đ,Santa Fe 2025 – Miễn 100% thuế trước bạ + quà VIP,,Santa Fe,Hyundai,,2025,,,,,Tự động,Xăng,Khác,,,,SUV / Cross over,,,,,,,,,
694d6de931eb0e1e04011d57,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129556690.htm,18.500.000 đ,Honda Wave A 2025 Trắng Mới 99%,Bảo hành hãng,Wave,Honda,Xe số,2025,,> 50 kg,Mới,Việt Nam,,,,,,,,,,,,,,,,
694d6dee31eb0e1e04011d58,https://www.chotot.com/mua-ban-quan-3-tp-ho-chi-minh/129907306.htm,1.788.000.000 đ,Volkswagen Teramont 2025,,Teramont,Volkswagen,,2025,,,,,Tự động,Xăng,7,,,,SUV / Cross over,,,,,,,,,
694d6df231eb0e1e04011d59,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/124035246.htm,1.307.000.000 đ,"2025 Raptor vay 80%, hỗ trợ nợ nhóm nhanh gọn lẹ",,Ranger,Ford,,2025,,,,,Tự động,Dầu,5,,,,Pick-up (bán tải),,,,,,,,,
694d6df731eb0e1e04011d5a,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/129907300.htm,11.000.000 đ,Honda 66 giấy tờ đầy đủ chạy bao êm,Bảo hành hãng,67,Honda,Tay côn/Moto,trước năm 1980,123456,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6dfc31eb0e1e04011d5b,https://www.chotot.com/mua-ban-quan-3-tp-ho-chi-minh/129907290.htm,2.288.000.000 đ,Volkswagen Viloran Luxury 2025,,Viloran,Volkswagen,,2025,,,,,Tự động,Xăng,7,,,,Van,,,,,,,,,
694d6e0131eb0e1e04011d5c,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/128271097.htm,22.000.000 đ,Honda air blade thái Fi 2010 mới 90% biển số TP,Bảo hành hãng,Air Blade,Honda,Tay ga,2010,5,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6e0731eb0e1e04011d5d,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129907203.htm,550.000 đ,Phuộc trước/đĩa phanh Honda Airblade 125 2014,,,,,,,,Đã sử dụng,Việt Nam,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6e0b31eb0e1e04011d5e,https://www.chotot.com/mua-ban-huyen-binh-chanh-tp-ho-chi-minh/129907172.htm,2.000.000 đ,Xe đạp Fixed Gear Maximus Vàng đồng,,,Khác,,,,,Đã sử dụng,Đang cập nhật,,,,,,,,,Nhôm,Fixed gear,M ( 50 cm),Xe đạp thể thao,Vàng,,,
694d6e1031eb0e1e04011d5f,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/124301378.htm,1.475.000.000 đ,"2025 Everest 4x4 Trắng bank 90%, lãi 7,5%",,Everest,Ford,,2025,,,,,Tự động,Dầu,7,,,,,,,,,,,,,
694d6e1431eb0e1e04011d60,https://www.chotot.com/mua-ban-quan-11-tp-ho-chi-minh/129520826.htm,450.000 đ,phuộc trước ab125 zin đẹp.bao lướt,,,,,,,,Đã sử dụng,Nhật Bản,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6e1931eb0e1e04011d61,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129823263.htm,14.500.000 đ,Honda Air Blade FI 2010 Đỏ Đã sử dụng,Bảo hành hãng,Air Blade,Honda,Tay ga,2010,10,> 50 kg,Đã sử dụng,Thái Lan,,,,,,,,,,,,,,,,
694d6e1e31eb0e1e04011d62,https://www.chotot.com/mua-ban-quan-11-tp-ho-chi-minh/129907104.htm,350.000 đ,chản ba shmode zin đẹp.bao lướt,,,,,,,,Đã sử dụng,Nhật Bản,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6e2331eb0e1e04011d63,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/129272496.htm,550.000.000 đ,Kia Sorento 2020 2.4 GAT Premium - 78000 km,,Sorento,Kia,,2020,,> 1 tấn,,,Tự động,Xăng,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6e3231eb0e1e04011d64,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/129907024.htm,5.600.000 đ,Honda Wave A 2002 Đỏ,Bảo hành hãng,Wave,Honda,Xe số,2002,20000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6e3631eb0e1e04011d65,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129823140.htm,18.000.000 đ,Honda Winner 2019 Trắng Đã qua sử dụng,Bảo hành hãng,Winner,Honda,Tay côn/Moto,2019,10,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6e3b31eb0e1e04011d66,https://www.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/129374458.htm#px=SR-special_display_ad-[PO-3][PL-default],94.000.000 đ,Honda SH 160i ABS 2024 Xám 8000 km,,,,,,,,,,,,,,,,,,,,,,,,,
694d6e4031eb0e1e04011d67,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/127740148.htm,896.000.000 đ,"2025 Titanium X 1.5 AT mới Bank 85%, lãi 7,5%",,Territory,Ford,,2025,,,,,Tự động,Xăng,5,,,,SUV / Cross over,,,,,,,,,
694d6e4531eb0e1e04011d68,https://www.chotot.com/mua-ban-huyen-binh-chanh-tp-ho-chi-minh/129906996.htm,6.000.000 đ,Suzuki Raider 150 Đen tím,Bảo hành hãng,FX125,Suzuki,Tay côn/Moto,2003,15888,> 50 kg,Đã sử dụng,Việt Nam,,,,,,,,100 - 175 cc,,,,,,,,
694d6e4931eb0e1e04011d69,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/129906956.htm,11.000.000 đ,Yamaha Sirius 50 Xanh xám,Bảo hành hãng,Sirius,Yamaha,Xe số,2019,,> 50 kg,Mới,Nước khác,,,,,,,,Dưới 50 cc,,,,,,,,
694d6e5331eb0e1e04011d6a,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/129816552.htm,7.200.000 đ,Pin xe điện Inox 72V 60Ah,,,,,,,,Đã sử dụng,Việt Nam,,,,,Phụ tùng xe điện,In trên bao bì sản phẩm,,,,,,,,,,
694d6e5831eb0e1e04011d6b,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/129856560.htm,28.500.000 đ,Xe máy điện VinFast Vento ABS Đỏ cam,,,VinFast,Xe máy điện,,,> 20 kg,Đã sử dụng,Lắp ráp tại Việt Nam,,,,,,,,,,,,,Đỏ,> 24 tháng,> 1000 W,
694d6e5d31eb0e1e04011d6c,https://www.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/127804082.htm#px=SR-special_display_ad-[PO-9][PL-default],45.000.000 đ,"Honda Dream kiểng Cọp màu Trắng Sport, 2 thắng đĩa",,,,,,,,,,,,,,,,,,,,,,,,,
694d6e6231eb0e1e04011d6d,https://www.chotot.com/mua-ban-quan-binh-thanh-tp-ho-chi-minh/129906920.htm,500.000 đ,Xe đạp trẻ em Stitch Xanh dương mới,,,Stitch,,,,,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,Xe đạp trẻ em,Xanh dương,,,
694d6e6731eb0e1e04011d6e,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129557157.htm,23.000.000 đ,Honda Sonic 150 2020 Đen đỏ,Bảo hành hãng,Sonic,Honda,Tay côn/Moto,2020,5,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6e6e31eb0e1e04011d6f,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129364379.htm,38.800.000 đ,Honda AB 150 ABS 2022 Xám đen 9 chủ,Bảo hành hãng,Air Blade,Honda,Tay ga,2022,16395,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6e7231eb0e1e04011d70,https://www.chotot.com/mua-ban-quan-3-tp-ho-chi-minh/129906906.htm,1.200.000 đ,Đèn pha Zhi.Pat SH Ý Đen Khói,,,,,,,,Đã sử dụng,Việt Nam,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6e7731eb0e1e04011d71,https://www.chotot.com/mua-ban-phuong-tien-khac-quan-binh-thanh-tp-ho-chi-minh/129906826.htm#px=SR-special_display_ad-[PO-14][PL-default],485.000.000 đ,Ford Transit 2020 16 chỗ Bạc 130.000km,,,,,,,,,,,,,,,,,,,,,,,,,
694d6e7c31eb0e1e04011d72,https://www.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/129906867.htm,800.000 đ,bộ áo xe vision đời 2017,,,,,,,,Đã sử dụng,Việt Nam,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6e8231eb0e1e04011d73,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/129331937.htm,1.348.000.000 đ,🔺KIA CARNIVAL SIGNATURE MÁY DẦU SẢN XUẤT 2024,,Carnival,Kia,,2024,,> 1 tấn,,,Tự động,Dầu,7,> 2 tấn,,,Minivan (MPV),,,,,,,,,
694d6e8731eb0e1e04011d74,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/129906849.htm,1.398.000.000 đ,Mercedes C200 AVG Plus 2022 Xám 4100 km,,C Class,Mercedes Benz,,2022,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6e8b31eb0e1e04011d75,https://www.chotot.com/mua-ban-quan-5-tp-ho-chi-minh/129509236.htm,45.000.000 đ,ab biển vip tứ quý 4,Bảo hành hãng,Air Blade,Honda,Tay ga,2009,1000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6e9031eb0e1e04011d76,https://www.chotot.com/mua-ban-quan-8-tp-ho-chi-minh/129127267.htm,86.000.000 đ,TPHCM BÁN TRK 502 đời 2020  odo 37000 km.Giá 89.00,Bảo hành hãng,TRK,Benelli,Tay côn/Moto,2020,37000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,Trên 175 cc,,,,,,,,
694d6e9531eb0e1e04011d77,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/129906833.htm,1.198.000.000 đ,Mercedes E200 Sport 2019 Up Full E300 - 1 chủ,,E Class,Mercedes Benz,,2019,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6ead31eb0e1e04011d78,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/129906827.htm,11.000.000 đ,Xe máy điện VINFAST FELIZ Đỏ,,,VinFast,Xe máy điện,,,> 20 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,Đỏ,,,
694d6eb331eb0e1e04011d79,https://www.chotot.com/mua-ban-huyen-binh-chanh-tp-ho-chi-minh/129906815.htm,14.900.000 đ,Siêu phẩm sirius 50cc,Bảo hành hãng,Sirius,Yamaha,Xe số,2025,5000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,Dưới 50 cc,,,,,,,,
694d6ebd31eb0e1e04011d7a,https://www.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/129632344.htm#px=SR-special_display_ad-[PO-5][PL-default],1.479.000.000 đ,BMW X4 Xdrive20i 2020 Trắng nhập Mỹ nguyên con,,X4,BMW,,2020,,> 1 tấn,,,Tự động,Xăng,,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6ec231eb0e1e04011d7b,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129380219.htm,38.000.000 đ,air blade 150 ABS 2021 mới 90% Bstp chính chủ,Bảo hành hãng,Air Blade,Honda,Tay ga,2021,5,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6ec731eb0e1e04011d7c,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129846183.htm,32.800.000 đ,Yamaha NVX 155 VVA ABS 2018 Smartkey Trắng đen,Bảo hành hãng,Nvx,Yamaha,Tay ga,2018,3000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6ecb31eb0e1e04011d7d,https://www.chotot.com/mua-ban-quan-tan-binh-tp-ho-chi-minh/129707934.htm,670.000.000 đ,Toyota Corolla Cross 2021 1.8V - Chạy ít 19164 km,,Vios,Toyota,,2021,,> 1 tấn,,,5,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6ed131eb0e1e04011d7e,https://www.chotot.com/mua-ban-huyen-hoc-mon-tp-ho-chi-minh/129906741.htm,20.000.000 đ,Cần bán gấp xe Vision,Bảo hành hãng,Vision,Honda,Tay ga,2017,67486,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6ed631eb0e1e04011d7f,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129906736.htm,14.200.000 đ,Honda Future Neo 2009 Đỏ,Bảo hành hãng,Future,Honda,Xe số,2009,50000,> 50 kg,Đã sử dụng,Việt Nam,,,,,,,,100 - 175 cc,,,,,,,,
694d6edb31eb0e1e04011d80,https://www.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/127629570.htm#px=SR-special_display_ad-[PO-11][PL-default],699.000.000 đ,Mercedes Benz E200 Model 2017,,E Class,Mercedes Benz,,2016,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6ee031eb0e1e04011d81,https://www.chotot.com/mua-ban-quan-binh-thanh-tp-ho-chi-minh/129415792.htm,950.000.000 đ,Mercedes Benz C Class 2019 C300 AMG - 70000 km,,C Class,Mercedes Benz,,2019,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,Sedan,,,,,,,,,
694d6ee431eb0e1e04011d82,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/128816101.htm,21.000.000 đ,Honda winner x 2021 mới 90% Bstp chính chủ,Bảo hành hãng,Winner X,Honda,Tay côn/Moto,2021,5,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6ee931eb0e1e04011d83,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129725913.htm,29.800.000 đ,Piaggio Vespa Sprint 2016 Vàng đen,Bảo hành hãng,Sprint,Piaggio,Tay ga,2016,21963,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6eee31eb0e1e04011d84,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/129906691.htm,4.000.000 đ,Mình về quê nên cần pass lại xe điện như hình.,,,Khác,Xe điện khác,,,> 20 kg,Đã sử dụng,Trung Quốc,,,,,,,,,,,,,Xanh dương,Hết bảo hành,251 - 350 W,
694d6ef331eb0e1e04011d85,https://www.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/127977242.htm#px=SR-special_display_ad-[PO-16][PL-default],1.519.000.000 đ,Mercedes GLC200 4 Matic V1 2022 trắng cực đẹp,,GLC,Mercedes Benz,,2022,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6ef831eb0e1e04011d86,https://www.chotot.com/mua-ban-quan-tan-binh-tp-ho-chi-minh/129906635.htm,830.000.000 đ,Toyota Innova Cross 2024 1.8V - XE ĐẸP 19.500 km,,Innova Cross,Toyota,,2024,,> 1 tấn,,,Tự động,Xăng,,> 2 tấn,,,,,,,,,,,,
694d6efd31eb0e1e04011d87,https://www.chotot.com/mua-ban-quan-8-tp-ho-chi-minh/129906613.htm,350.000 đ,Phuộc nhún xe máy Vario Đen,,,,,,,,Đã sử dụng,Đang cập nhật,,,,,Phụ tùng xe máy,In trên bao bì sản phẩm,,,,,,,,,,
694d6f0231eb0e1e04011d88,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129906599.htm,5.800.000 đ,honda click máy êm gtdd có cccd chủ,Bảo hành hãng,Click,Honda,Tay ga,2007,10000,> 50 kg,Đã sử dụng,Nhật Bản,,,,,,,,100 - 175 cc,,,,,,,,
694d6f0831eb0e1e04011d89,https://www.chotot.com/mua-ban-quan-tan-binh-tp-ho-chi-minh/127330842.htm,26.500.000 đ,🅰️honda air blade 125 góp trả 30% nhận cavet gốc🅰️,Bảo hành hãng,Air Blade,Honda,Tay ga,2019,20000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6f2831eb0e1e04011d8a,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/129477171.htm,375.000.000 đ,LEXUS RX400h 4WD 2006 HYBRID sưu tầm zin và đẹp,,RX,Lexus,,2006,,> 1 tấn,,,Tự động,Động cơ Hybrid,8,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6f2c31eb0e1e04011d8b,https://www.chotot.com/mua-ban-quan-tan-phu-tp-ho-chi-minh/129255294.htm,31.000.000 đ,Yamaha r15 v3 150 2021 mới 90% Bstp chính chủ,Bảo hành hãng,R,Yamaha,Tay côn/Moto,2021,5,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6f3131eb0e1e04011d8c,https://www.chotot.com/mua-ban-quan-go-vap-tp-ho-chi-minh/129640130.htm,15.800.000 đ,Honda Winner V1 150 GTR Đen Trắng Đỏ,Bảo hành hãng,Win,Honda,Tay côn/Moto,2019,36932,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,100 - 175 cc,,,,,,,,
694d6f3631eb0e1e04011d8d,https://www.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/129331482.htm#px=SR-special_display_ad-[PO-7][PL-default],1.099.000.000 đ,Mercedes-Benz GLC300 Coupe 2017 4MATIC,,GLC Class,Mercedes Benz,,2017,,> 1 tấn,,,Tự động,Xăng,5,> 2 tấn,,,SUV / Cross over,,,,,,,,,
